Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-01-14,Grave of the Fireflies,1988,https://boxd.it/8tnvP1,4.5,,,2025-01-14
2025-01-14,Vertigo,1958,https://boxd.it/8tnvUZ,4.5,,,2025-01-14
2025-01-14,The Pianist,2002,https://boxd.it/8tnw4b,4.5,,,2025-01-14
2025-01-14,There Will Be Blood,2007,https://boxd.it/8tnw8R,4.5,,,2025-01-14
2025-01-14,The Lord of the Rings: The Two Towers,2002,https://boxd.it/8tnwdR,4,,,2025-01-14
2025-01-14,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/8tnwiR,4.5,,,2025-01-14
2025-01-14,Shutter Island,2010,https://boxd.it/8tnwoF,4.5,,,2025-01-14
2025-01-14,Dead Poets Society,1989,https://boxd.it/8tnwtZ,4.5,,,2025-01-14
2025-01-14,Forrest Gump,1994,https://boxd.it/8tnwB5,4.5,,,2025-01-14
2025-01-14,Whiplash,2014,https://boxd.it/8tnwGz,4.5,,,2025-01-14
2025-01-14,Interstellar,2014,https://boxd.it/8tnx5f,3.5,,,2025-01-14
2025-01-14,Wild Strawberries,1957,https://boxd.it/8tnxwZ,5,,,2025-01-14
2025-01-17,Winter Light,1963,https://boxd.it/8uQ2t3,4.5,,,2025-01-16
2025-01-17,Little Women,1994,https://boxd.it/8vdC0n,4,,,2025-01-17
2025-01-19,Barry Lyndon,1975,https://boxd.it/8wRBKj,5,,,2025-01-19
2025-01-23,Django Unchained,2012,https://boxd.it/8zPgSp,4.5,Yes,,2025-01-22
2025-11-10,At the Bar,2007,https://boxd.it/bEHs6F,3,,,2025-01-26
2025-11-16,Passengers,2016,https://boxd.it/bJ8zst,2.5,,,2025-02-07
2025-02-11,Eyes Wide Shut,1999,https://boxd.it/8NwHUZ,5,,,2025-02-11
2025-02-20,Eyes Wide Shut,1999,https://boxd.it/8TrOzD,4.5,Yes,,2025-02-20
2025-02-20,Reservoir Dogs,1991,https://boxd.it/8TrPmP,4.5,,,2025-02-20
2025-02-20,The Prestige,2006,https://boxd.it/8TrPIh,4,,,2025-02-20
2025-10-15,How to Train Your Dragon,2010,https://boxd.it/bn51pL,3.5,,,2025-02-21
2025-04-06,The Usual Suspects,1995,https://boxd.it/9kqiLj,4.5,,,2025-04-06
2025-04-06,The Usual Suspects,1995,https://boxd.it/9kqrtt,4,Yes,,2025-04-06
2025-11-07,Deadpool & Wolverine,2024,https://boxd.it/bCKosl,3,,,2025-04-09
2025-04-20,Léon: The Professional,1994,https://boxd.it/9sr3jt,2,,,2025-04-19
2025-04-24,Her,2013,https://boxd.it/9v5jtH,3,,,2025-04-23
2025-04-26,Apocalypse Now,1979,https://boxd.it/9wjqK3,5,,,2025-04-26
2025-05-06,"Paris, Texas",1984,https://boxd.it/9Cnd09,5,,,2025-05-06
2025-11-07,Bolt,2008,https://boxd.it/bCJPH1,2.5,,,2025-05-06
2025-11-17,The Platform,2019,https://boxd.it/bJEN3h,3,,,2025-05-06
2025-05-22,The Banshees of Inisherin,2022,https://boxd.it/9Ln1bZ,3.5,,,2025-05-22
2025-05-25,Harakiri,1962,https://boxd.it/9NcoFf,5,,,2025-05-25
2025-06-01,Manic,2001,https://boxd.it/9RuSFL,4.5,,,2025-05-31
2025-11-03,Home Alone,1990,https://boxd.it/bAarFH,3.5,,,2025-06-04
2025-06-07,Blade Runner,1982,https://boxd.it/9VrJQF,3.5,,,2025-06-07
2025-06-10,Barry Lyndon,1975,https://boxd.it/9XhWa1,5,Yes,,2025-06-10
2025-06-15,Top Gun: Maverick,2022,https://boxd.it/a0nBvB,0.5,,,2025-06-15
2025-06-26,Reservoir Dogs,1992,https://boxd.it/a7wRb9,4,Yes,,2025-06-25
2025-07-15,Oldboy,2003,https://boxd.it/al2icd,4.5,,,2025-07-15
2025-11-03,The Social Network,2010,https://boxd.it/bAax5P,3.5,,,2025-08-07
2025-08-08,Bullet Train,2022,https://boxd.it/aEpxcp,3,,,2025-08-08
2025-11-03,Inside Out,2015,https://boxd.it/bAaA3R,3.5,,,2025-08-08
2025-08-10,The Godfather,1972,https://boxd.it/aFEGwR,4.5,Yes,,2025-08-10
